,NAME,COHORT,DESCRIPTION
720,Pursuit,s2016,Revlo helps broadcasters on Twitch engage and monetize their fan base. We do this by allowing broadcasters to create interaction opportunities for their fans at scale.
721,Quero Education,s2016,"Quero is an online marketplace for college programs in Brazil. It helps students search, compare and enroll in programs in over 1200 partner colleges, saving money on tuition."
722,Raptor Maps,s2016,Raptor Maps makes software to manage solar farm construction and maintenance.
723,Ready Education,s2016,OOHLALA is building the mobile OS for higher education. We power over 150 institutions in 7 countries to improve student engagement and communication on campus.
724,Reebeez,s2016,"Reebeez creates powerful microengines for UAVs. With a 2hr + flight time, our microengine has a specific energy 8x better than batteries at a third of the cost. Reebeez expands the possibilities and applications of UAVs!"
725,RigPlenish,s2016,"On average each Ambulance run is two hours long, 40 minutes is spent on doing paperwork. Our vision is to reduce those 40 minutes to 4 minutes."
726,Robby Technologies,s2016,"We are building a fleet of autonomous mobile robots that travel on sidewalks and deliver things to your doorstep, at low cost and high efficiency."
727,RocketLit,s2016,"RocketLit is an adaptive learning and assessment platform. We write articles at 7 different reading levels, serve them to every student in a classroom at their independent reading level, and fluidly adapt the level students receive as they improve."
728,Rose Rocket,s2016,Rose Rocket is ERP software for trucking companies.
730,Sage Care,s2016,Get care at home for mom or dad from trusted professionals in their neighborhood. Manage visits through text and email.
731,Saleswhale,s2016,"Saleswhale is an automated sales assistant that follows up with your stale and cold leads, engaging them in two-way conversation - before handing off hot leads to your sales team."
732,Scale,s2016,API for Training Data
733,Scanate/Fellow,s2016,API for Invoice Financing
734,Selfycart,s2016,Selfycart - let's grocery shoppers scan items and checkout on their phone without waiting in checkout line.
735,Seneca Systems,s2016,Constituent system-of-record and service request management software for local government.
736,Shield Diagnostics,s2016,Diagnostics for antibiotic resistant infecitons.
737,SimpleCitizen,s2016,"From signup to citizenship, only SimpleCitizen guides applicants through the entire immigration process, providing a truly comprehensive solution that's fast, accurate, and affordable."
738,SkyLights,s2016,VR on planes as inflight entertainment
739,SmartSite,s2016,"Smartsite is a hardware device to protect workers from health risks on the construction site. It is a connected sensor unit that detects noise, fine airborne particles and UV. We make construction safer and save companies money."
740,Squire Technologies,s2016,OpenTable for barbershops
741,Starcity,s2016,"Starcity builds a new real estate product between hotel and housing, known as coliving. Our mission is to make great cities accessible to everyone."
742,Starsky Robotics,s2016,"Driverless Trucks, for real."
743,Suiteness,s2016,Get exclusive access to the best suites at luxury hotels.
744,Sway Finance,s2016,Sway is bringing AI to the accounting industry
745,Techmate,s2016,A technology concierge for your home. We provide on-demand support for all your internet-connected devices.
746,The Athletic,s2016,Subscription sports media.
747,The Flex Company,s2016,The leader in innovation for period care.
748,Upgraded,s2016,Upgraded helps retailers and carriers sell devices on Upgrade Plans.
749,Validere,s2016,"AI & IoT intelligence to optimize oil and gas quality, logistics and trading"
750,Vetcove,s2016,"Vetcove is the largest B2B marketplace for the animal health supply chain. Veterinary hospitals can compare prices and what's in stock across vendors, and buy their pharmaceuticals, biologics, equipment, and supplies from one website."
751,Vidcode,s2016,Vidcode is a cross-disciplinary coding platform for teens to learn JavaScript
752,Vote.org,s2016,"Vote.org uses technology to simplify political engagement, increase voter turnout, and strengthen American democracy."
753,Wallarm,s2016,Application and API security for the modern web
754,Whyd,s2016,"We make a beautiful, great sounding, voice-controlled speaker."
755,Women Who Code,s2016,WWCode is a non profit with a set of programs that helps mid-career engineers get promoted.
756,WorkRamp,s2016,"WorkRamp builds training software for companies like McAfee, Intercom, and PayPal."
757,Xberts,s2016,Xberts.com is a cross-border marketplace for Chinese hardware products.
758,YesGraph,s2016,"YesGraph recommends exactly who a user should invite to an app. Our API can help boost the performance of sharing, referral, and invite flows. If you have a social application or a referral program, we should talk!"
759,Yoshi,s2016,Gas delivered to your car so you never have to go to the gas station again.
760,Able Health,w2016,Able Health gets doctors paid more for higher quality care
761,Acre Designs,w2016,"Acre creates homes that are built for life. We build future ready home that are sustainable, affordable, and inspired."
762,Airmada,w2016,Autonomous ground stations for drones
763,AlphaFlow,w2016,AlphaFlow makes investing in real estate as easy as adding stocks to your portfolio. 100% passive with unparalleled diversification. “You make 1 investment. We build you a diversified real estate portfolio. It's that simple.”
764,Anchor Health,w2016,"Modernizing home health care agencies with software, hardware, and operating systems"
765,Apollo.io,w2016,Apollo is the foundation of your entire go-to-market strategy.
766,Astranis,w2016,"We're building small, low-cost, geostationary telecommunications satellites. Astranis satellites will help bring online the 4 billion people who are without internet access."
767,Bonsai,w2016,All-in-one freelancing solution for the world's best creative freelancers.
768,Boom,w2016,Mainstream supersonic passenger airplanes
769,Bus.com,w2016,The easiest way to charter a bus in North America.
770,Caper,w2016,Plug-and-play cashier-less retail powered by computer vision and AI
771,CareSkore,w2016,CareSkore helps healthcare organizations better manage patient populations.
772,Castle,w2016,Castle manages rental homes for landlords using automation and on-demand labor.
773,Castle Intelligence,w2016,Castle analyzes user behavior to stop hackers
774,Chatfuel,w2016,Platform to easily create chatbots to engage with audiences on messengers.
775,Chillabit,w2016,"Chillabit is the best way to procrastinate! It’s a live feed of funny and relatable student stories that capture student life. From inside jokes to heart-felt stories, it is a place for sharing your thoughts and connecting around shared experiences."
776,Compgun,w2016,Sales commission software that grows revenue.
777,ConstructVR,w2016,"The simplest way to test, manage, and deploy VR/AR apps at scale."
778,Copia,w2016,"Copia's a for-profit technology company that solves food waste & hunger at scale. Our technology-driven service helps businesses reduce disposal costs, save huge on taxes, give back to the community while solving the world's dumbest problem: hunger."
780,Daily.co,w2016,"Unlimited 1-click video calling, no time limits, no downloads, free dial-in, free 50 person calls, and recording."
